Country Name,Year,GDP_per_capita_PPP
Bangladesh,1990,2069.78230100672
India,1990,2203.14703867968
Pakistan,1990,3199.72962609833
Bangladesh,1991,2101.38366035658
India,1991,2178.6859145401
Pakistan,1991,3252.35104026309
Bangladesh,1992,2174.38232866943
India,1992,2249.69790389274
Pakistan,1992,3404.12138406329
Bangladesh,1993,2234.8101219225
India,1993,2307.60714181108
Pakistan,1993,3369.23795906028
Bangladesh,1994,2279.09435302944
India,1994,2411.46273689083
Pakistan,1994,3395.50432067539
Bangladesh,1995,2351.70387946903
India,1995,2542.42211133345
Pakistan,1995,3462.47336165841
Bangladesh,1996,2413.54298201505
India,1996,2680.27888437082
Pakistan,1996,3526.14160875155
Bangladesh,1997,2475.59574602489
India,1997,2734.52089133672
Pakistan,1997,3462.58145605889
Bangladesh,1998,2555.06119218282
India,1998,2847.96234988663
Pakistan,1998,3454.17665330544
Bangladesh,1999,2624.06553797638
India,1999,3041.48258556057
Pakistan,1999,3484.45678319813
Bangladesh,2000,2712.93512215725
India,2000,3099.5028215766
Pakistan,2000,3531.71291531612
Bangladesh,2001,2803.55471950946
India,2001,3188.81024020636
Pakistan,2001,3559.72784658715
Bangladesh,2002,2866.43454328715
India,2002,3250.69565544917
Pakistan,2002,3563.67846926558
Bangladesh,2003,2958.91503115633
India,2003,3445.92592352395
Pakistan,2003,3668.77938852508
Bangladesh,2004,3071.83778764611
India,2004,3656.12620652098
Pakistan,2004,3859.64601808903
Bangladesh,2005,3231.61370692891
India,2005,3881.9661798273
Pakistan,2005,4042.15457513378
Bangladesh,2006,3407.4273502159
India,2006,4129.77837009239
Pakistan,2006,4185.86655659206
Bangladesh,2007,3608.91543819399
India,2007,4379.69604361151
Pakistan,2007,4257.92556870432
Bangladesh,2008,3787.9382761855
India,2008,4450.39022919238
Pakistan,2008,4233.34830715497
Bangladesh,2009,3942.13631207203
India,2009,4731.36160463896
Pakistan,2009,4270.43882264229
Bangladesh,2010,4125.46390163202
India,2010,5059.2827108398
Pakistan,2010,4228.7817715945
Bangladesh,2011,4352.42643359325
India,2011,5249.54925694026
Pakistan,2011,4246.06710882497
Bangladesh,2012,4592.04840919812
India,2012,5460.43768570052
Pakistan,2012,4292.02110293486
Bangladesh,2013,4822.72621378266
India,2013,5732.24189090876
Pakistan,2013,4407.14705841377
Bangladesh,2014,5068.63965672741
India,2014,6079.84393523695
Pakistan,2014,4520.23463399286
Bangladesh,2015,5352.71133299566
India,2015,6488.14602910787
Pakistan,2015,4645.28631071145
Bangladesh,2016,5682.53553494306
India,2016,6940.62588857522
Pakistan,2016,4886.61212115378
Bangladesh,2017,6005.70718781048
India,2017,7326.60693679859
Pakistan,2017,5031.56060738433
Bangladesh,2018,6392.59334024091
India,2018,7714.33974724531
Pakistan,2018,5255.06350681272
Bangladesh,2019,6838.32611608243
India,2019,7930.0911303899
Pakistan,2019,5295.95295138203
Bangladesh,2020,7015.19792797056
India,2020,7399.53068079041
Pakistan,2020,5135.01459288839
Bangladesh,2021,7441.06913961254
India,2021,8050.01857452664
Pakistan,2021,5367.27364714762
Bangladesh,2022,7888.16389098304
India,2022,8544.68888383182
Pakistan,2022,5526.27928310213
Bangladesh,2023,8242.39798977242
India,2023,9160.06365370888
Pakistan,2023,5439.18762006677
